BBH 2014	The 2nd International Workshop of BigData in Bioinformatics and Healthcare Informatics	Washington DC, USA
BCI 2017	8th Balkan Conference in Informatics	Skopje
BCI for Neurorobotics 2017	Brain Computer Interface Systems for Neurorobotics: Methods and Applications	N/A
BDA 2017	5th International Conference on Big Data Analytics (BDA 2017)	Hyderabad, India
BDAS 2012	Bazy Danych - Aplikacje i Systemy	Ustron, Poland
BDAS 2013	IX Konferencja Naukowa Bazy Danych - Aplikacje i Systemy	Ustron, Poland
BDAS 2014	10th IEEE International Conference Beyond Databases, Architectures and Structures	Ustron, Poland
BDAS 2015	11th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
BDAS 2016	12th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
BDAS 2017	13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
BDAS 2018	14th (IFIP and IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures during IFIP World Computer Congres (IFIP WCC)	Poznan, Poland
BDASD 2017	Special Session on Big Data Analytics and Stream Data Mining	Warsaw, Poland
BDBI 2017	3rd CFC: Utilizing Big Data Paradigms for Business Intelligence	N/A
BDCAT 2017	The 4th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies	Austin, TX, USA
BDI 2013	International Symposium on Biomedical Data infrastructure	Kuala Lumpur, Malaysia
BDIOT - ACM 2017	ACM - 2017 International Conference on Big Data and Internet of Things (BDIOT2017)--Ei Compendex, Scopus and ISI	London, UK
BDIOT - Ei 2017	ACM - 2017 International Conference on Big Data and Internet of Things (BDIOT2017)--Ei Compendex, Scopus and ISI	London, UK
BDQM 2016	The 1st International Workshop on Big Data Quality Management	Dallas, TX, USA
BDSAV 2013	The 1st International Workshop on Big Data Storage, Analytics, and Visualization	Washington DC, USA
BDTA 2016	7th EAI International Conference on Big Data Technologies and Applications	Seoul, South Korea
BDVA 2017	International Symposium on Big Data Visual Analytics	Adelaide, Australia
BEWEB 2013	4th International Workshop on Business IntelligencE and the Web	Genoa, Italy
BFAL 2017	International Conference on Brain Function Assessment in Learning	Patras
BI 2017	The 2017 International Conference on Brain Informatics	Beijing, China
BIBM SEPDA 2017	CFP for the 2nd International Workshop on Semantics-Powered Data Analytics (SEPDA 2017)	Kansas City, MO, USA
BiDaDA 2013	1st Workshop on Biological Data mining and Database Applications	Dallas, TX, USA
BiDaTA 2013	Adbis Special session on Big Data: New Trends and Applications	Genoa, Italy
BIGDATA 2012	Workshop on End-to-End Management of Big Data	Istanbul, Turkey
Big Data 2016	The Third International Conference on Data Mining, Internet Computing, and Big Data	Mevlana University
Big Data 2017	The 5th International Workshop on Big Data	Nanjing
BigData4SmartEnergy 2018	The First International Workshop on Big Data Analysis for Smart Energy	Shanghai, China
Big Data Analytics@IJCNN 2017	[Deadline Extended] Special Session: 'Large Datasets and Big Data Analytics: Theory, Methods, and Applications' at IJCNN 2017	Anchorage, AK, USA
